Date,N_Stocks,Allocation
2021-07-30,9,"OrderedDict({'CAP.PA': 0.06654, 'DSY.PA': 0.02, 'EL.PA': 0.10346, 'LR.PA': 0.25, 'RMS.PA': 0.02, 'SGO.PA': 0.02, 'STMPA.PA': 0.25, 'TEP.PA': 0.02, 'VIE.PA': 0.25})"
2021-08-31,11,"OrderedDict({'CAP.PA': 0.02, 'DSY.PA': 0.02, 'EL.PA': 0.02, 'EN.PA': 0.25, 'ERF.PA': 0.18266, 'LR.PA': 0.25, 'STMPA.PA': 0.17734, 'SU.PA': 0.02, 'TEP.PA': 0.02, 'VIE.PA': 0.02, 'VIV.PA': 0.02})"
2021-09-30,0,{}
2021-10-29,6,"OrderedDict({'CAP.PA': 0.11621, 'CS.PA': 0.33333, 'DSY.PA': 0.02, 'EL.PA': 0.17713, 'RMS.PA': 0.02, 'STMPA.PA': 0.33333})"
2021-11-30,0,{}
2021-12-31,5,"OrderedDict({'LR.PA': 0.4, 'SU.PA': 0.16, 'TEP.PA': 0.02, 'VIE.PA': 0.4, 'VIV.PA': 0.02})"
2022-01-31,0,{}
2022-02-28,0,{}
2022-03-31,0,{}
2022-04-29,0,{}
2022-05-31,4,"OrderedDict({'ALO.PA': 0.03208, 'FR.PA': 0.02, 'GLE.PA': 0.44792, 'TTE.PA': 0.5})"
2022-06-30,0,{}
2022-07-29,14,"OrderedDict({'CAP.PA': 0.02, 'DSY.PA': 0.02, 'KER.PA': 0.25, 'MC.PA': 0.02, 'OR.PA': 0.02, 'PUB.PA': 0.02, 'RI.PA': 0.02, 'RMS.PA': 0.02, 'RNO.PA': 0.02, 'SAF.PA': 0.25, 'STLAP.PA': 0.02, 'STMPA.PA': 0.25, 'SU.PA': 0.05, 'WLN.PA': 0.02})"
2022-08-31,0,{}
2022-09-30,0,{}
2022-10-31,9,"OrderedDict({'AI.PA': 0.11012, 'AIR.PA': 0.02, 'DG.PA': 0.09797, 'ENGI.PA': 0.25, 'HO.PA': 0.02, 'PUB.PA': 0.02, 'SAF.PA': 0.21191, 'SAN.PA': 0.02, 'TTE.PA': 0.25})"
2022-11-30,14,"OrderedDict({'ALO.PA': 0.03978, 'BNP.PA': 0.02741, 'CS.PA': 0.02, 'DG.PA': 0.02988, 'EL.PA': 0.02, 'ENGI.PA': 0.25, 'KER.PA': 0.10204, 'MC.PA': 0.02, 'PUB.PA': 0.02, 'RMS.PA': 0.02, 'RNO.PA': 0.02, 'SAF.PA': 0.16089, 'STLAP.PA': 0.02, 'TTE.PA': 0.25})"
2022-12-30,0,{}
2023-01-31,13,"OrderedDict({'ALO.PA': 0.02, 'BNP.PA': 0.02, 'CS.PA': 0.02, 'DG.PA': 0.05829, 'GLE.PA': 0.25, 'KER.PA': 0.16772, 'MC.PA': 0.02, 'PUB.PA': 0.02, 'RMS.PA': 0.02, 'SAF.PA': 0.1538, 'STMPA.PA': 0.21019, 'TEP.PA': 0.02, 'VIV.PA': 0.02})"
2023-02-28,12,"OrderedDict({'ALO.PA': 0.03103, 'BNP.PA': 0.06075, 'CA.PA': 0.12175, 'CS.PA': 0.02, 'EN.PA': 0.25, 'HO.PA': 0.02, 'ORA.PA': 0.25, 'PUB.PA': 0.02, 'RNO.PA': 0.02, 'SGO.PA': 0.02, 'STLAP.PA': 0.02, 'STMPA.PA': 0.16647})"
2023-03-31,6,"OrderedDict({'ENGI.PA': 0.33333, 'OR.PA': 0.21677, 'ORA.PA': 0.33333, 'RI.PA': 0.02, 'RMS.PA': 0.02, 'SAN.PA': 0.07656})"
2023-04-28,8,"OrderedDict({'AI.PA': 0.11693, 'DG.PA': 0.02865, 'EN.PA': 0.25, 'ENGI.PA': 0.25, 'OR.PA': 0.06443, 'ORA.PA': 0.25, 'RMS.PA': 0.02, 'VIV.PA': 0.02})"
2023-05-31,0,{}
2023-06-30,5,"OrderedDict({'ENGI.PA': 0.4, 'GLE.PA': 0.4, 'OR.PA': 0.16, 'RNO.PA': 0.02, 'STLAP.PA': 0.02})"
